track_id,album_id,date_id,sound_id,virality_id,main_artist_id,streams_1month,popularity
TR004906,ALB591271,20240510,4906,4,101,4334,8.0
TR004907,ALB565632,20250516,4907,4,101,5947,37.0
TR004908,ALB597295,20110524,4908,4,101,4424,2.0
TR004909,ALB365375,20040101,4909,4,101,5499,5.0
TR004910,ALB591271,20240510,4910,4,101,5107,9.0
TR004911,ALB278732,20100518,4911,4,101,5786,4.0
TR004912,ALB684347,20250221,4912,4,101,5123,26.0
TR004913,ALB278732,20100518,4913,4,101,5085,7.0
TR004914,ALB330203,20080228,4914,4,101,4405,33.0
TR004915,ALB591271,20240510,4915,5,101,4343,13.0
TR004916,ALB278732,20100518,4916,3,101,5850,3.0
TR004917,ALB106021,20100518,4917,4,101,4670,27.0
TR004918,ALB991514,20121030,4918,4,101,4757,4.0
TR004919,ALB333806,20080228,4919,4,101,5537,3.0
TR004920,ALB591271,20240510,4920,1,101,4690,11.0
TR004921,ALB591271,20240510,4921,4,101,5921,13.0
TR004922,ALB534654,20240510,4922,4,101,5491,12.0
TR004923,ALB278732,20100518,4923,4,101,5211,5.0
TR004924,ALB278732,20100518,4924,4,101,5779,4.0
TR004925,ALB591271,20240510,4925,6,101,4110,12.0
TR004926,ALB333806,20080228,4926,4,101,4528,3.0
TR004927,ALB425495,20090715,4927,4,101,4945,41.0
TR004928,ALB739581,20240510,4928,4,101,4466,14.0
TR004929,ALB333806,20080228,4929,4,101,5504,3.0
TR004930,ALB333806,20080228,4930,4,101,5857,3.0
TR004931,ALB591271,20240510,4931,4,101,4860,5.0
TR004932,ALB591271,20240510,4932,4,101,4696,6.0
TR004933,ALB591271,20240510,4933,4,101,5938,12.0
TR004934,ALB333806,20080228,4934,4,101,4905,2.0
TR004935,ALB788251,0,4935,3,101,4995,2.0
TR004936,ALB333806,20080228,4936,4,101,4718,2.0
TR004937,ALB788251,0,4937,4,101,5836,3.0
TR004938,ALB839800,20250207,4938,3,101,5150,23.0
TR004939,ALB788251,0,4939,3,101,5542,1.0
TR004940,ALB333806,20080228,4940,4,101,5641,1.0
TR004941,ALB427866,20111128,4941,3,101,4697,5.0
TR004942,ALB534654,0,4942,3,101,4882,45.0
TR004943,ALB788251,20111128,4943,4,101,5714,4.0
TR004944,ALB788251,20111128,4944,4,101,4741,14.0
TR004945,ALB674559,20101213,4945,4,101,5605,1.0
TR004946,ALB788251,0,4946,4,101,5900,2.0
TR004947,ALB788251,20111128,4947,4,101,5262,1.0
TR004948,ALB788251,0,4948,4,101,5500,2.0
TR004949,ALB788251,20111128,4949,4,101,5625,0.0
TR004950,ALB283572,20070101,4950,6,101,5706,17.0
TR004951,ALB513539,20200301,4951,1,101,4804,29.0
TR004952,ALB399662,20190903,4952,1,46,257360,52.0
TR004953,ALB750001,20180103,4953,3,46,198967,1.0
TR004954,ALB399662,20210219,4954,3,46,112358,41.0
TR004955,ALB399662,20200228,4955,2,46,53859,37.0
TR004956,ALB804136,20230825,4956,1,46,53789,41.0
TR004957,ALB399662,20200618,4957,3,46,45371,52.0
TR004958,ALB851846,20171201,4958,1,46,26738,61.0
TR004959,ALB399662,20210219,4959,3,46,21072,36.0
TR004960,ALB346296,20230317,4960,5,46,26360,45.0
TR004961,ALB462908,20191126,4961,1,46,22825,34.0
TR004962,ALB399662,20210219,4962,3,46,19518,48.0
TR004963,ALB399662,20210120,4963,3,46,20217,42.0
TR004964,ALB930810,20180220,4964,1,46,23861,1.0
TR004965,ALB399662,20210219,4965,3,46,19715,35.0
TR004966,ALB399662,20210219,4966,3,46,17068,49.0
TR004967,ALB376862,20180220,4967,1,46,22388,49.0
TR004968,ALB399662,20210219,4968,3,46,20308,29.0
TR004969,ALB568521,20180417,4969,1,46,19797,57.0
TR004970,ALB399662,20210219,4970,3,46,16139,34.0
TR004971,ALB778960,20190507,4971,3,46,16327,45.0
TR004972,ALB399662,20210219,4972,3,46,18871,37.0
TR004973,ALB810200,20190826,4973,3,46,16162,15.0
TR004974,ALB399662,20170103,4974,3,46,17324,52.0
TR004975,ALB862664,20190730,4975,1,46,12887,44.0
TR004976,ALB399662,20210219,4976,3,46,13817,35.0
TR004977,ALB758368,20180611,4977,3,46,11232,33.0
TR004978,ALB514903,20190801,4978,3,46,11388,60.0
TR004979,ALB346296,20240614,4979,3,46,10228,47.0
TR004980,ALB260794,20180220,4980,3,46,10379,25.0
TR004981,ALB399662,20210219,4981,3,46,14349,29.0
TR004982,ALB556906,20180206,4982,1,46,10562,0.0
TR004983,ALB399662,20210219,4983,3,46,12423,31.0
TR004984,ALB371209,20210903,4984,3,46,12875,48.0
TR004985,ALB510505,20220415,4985,3,46,11175,41.0
TR004986,ALB371209,20210924,4986,3,46,9102,37.0
