sound_id,bpm,rolloff,flux,rms,flatness,spectral_complexity,pitch,loudness,mood
9232,151.93,1322.9269,1.0288,0.1321,0.3159,24.8317,1570.8887,11.5627,Lo-Fi Hip Hop/Chill Rap
9233,101.06,2429.1619,1.2364,0.0566,0.7926,10.6833,2188.8165,3.9043,Trap/Drill
9234,84.93,1297.9378,1.117,0.1228,0.9196,21.0024,2612.3064,10.534,Trap/Drill
9235,87.0,1323.442,1.1981,0.0604,0.8731,10.8926,1925.8369,4.0713,Introspective Rap
9236,100.19,1855.8871,1.4739,0.1586,0.9067,23.767,2516.0839,14.8875,Trap/Drill
9237,97.0,1435.1394,1.3603,0.067,0.2164,14.4391,1978.7297,4.641,Trap/Drill
9238,89.07,2035.6126,1.2829,0.201,0.8003,36.4558,2224.9027,20.6904,Lo-Fi Hip Hop/Chill Rap
9239,105.06,2237.4216,1.3671,0.2183,0.8744,34.4822,2471.6723,22.6681,Lo-Fi Hip Hop/Chill Rap
9240,92.01,2506.7079,1.4281,0.1999,0.8558,37.0499,2683.0928,20.4309,Trap/Drill
9241,89.05,1624.9416,1.3013,0.159,0.9177,19.8687,2518.6369,14.8858,Club/Party Rap
9242,95.96,1314.0229,1.1871,0.1217,0.9217,20.3989,1915.6122,10.4903,Trap/Drill
9243,106.64,1135.2997,1.2328,0.0897,0.9088,15.6083,1815.8934,6.9255,Trap/Drill
9244,122.08,1050.6099,1.1496,0.2494,0.9264,24.6668,1957.3854,26.9838,Lo-Fi Hip Hop/Chill Rap
9245,184.57,1554.128,1.0343,0.1363,0.894,23.9567,1671.3361,12.3598,Trap/Drill
9246,83.98,1728.5417,1.2349,0.0578,0.851,11.723,2053.9238,3.9412,Trap/Drill
9247,93.04,1339.4969,1.164,0.2234,0.9435,28.5493,2316.7645,23.2247,Trap/Drill
9248,94.95,1205.7212,1.3802,0.1481,0.9345,20.689,1980.6419,13.377,Trap/Drill
9249,95.97,1833.4869,1.2368,0.0614,0.7998,17.5911,1578.7782,4.132,Lo-Fi Hip Hop/Chill Rap
9250,91.09,1259.5197,1.2623,0.1293,0.9231,21.9094,1820.6908,11.2615,Trap/Drill
9251,137.31,1793.4089,1.1828,0.2055,0.8787,36.8354,2150.8837,21.2886,Lo-Fi Hip Hop/Chill Rap
9252,96.01,2184.5089,1.4556,0.1749,0.8592,30.1598,2095.1281,16.9941,Lo-Fi Hip Hop/Chill Rap
9253,94.05,1994.0532,1.3746,0.1606,0.8881,28.606,2592.7219,15.256,Trap/Drill
9254,99.93,1910.8534,1.4403,0.2051,0.8603,34.2044,2329.8035,21.0395,Lo-Fi Hip Hop/Chill Rap
9255,99.03,1856.4728,1.3597,0.2428,0.2281,38.5361,2205.6945,25.9596,Lo-Fi Hip Hop/Chill Rap
9256,92.04,2002.6371,1.1338,0.167,0.9328,25.5903,2050.881,15.4792,Trap/Drill
9257,94.98,1568.6525,1.2451,0.1046,0.8558,16.2083,2325.926,8.9648,Introspective Rap
9258,75.46,1199.1095,1.1746,0.1111,0.839,12.418,2415.3144,9.4152,Boom Bap/Classic Hip Hop
9259,90.31,1720.1614,1.434,0.2139,0.8984,39.0444,1708.0497,21.5288,Club/Party Rap
9260,82.9,715.2422,1.1425,0.0798,0.911,10.4032,2040.0221,5.9262,Club/Party Rap
9261,133.74,1280.6617,1.1886,0.2598,0.9456,30.4552,2337.6653,28.0576,Trap/Drill
9262,153.53,1677.471,1.1372,0.0842,0.9018,15.7499,2063.9789,6.3657,Club/Party Rap
9263,163.33,1108.7672,1.4483,0.2564,0.8917,24.7773,2496.1073,27.9832,Club/Party Rap
9264,88.02,754.4017,1.1916,0.2783,0.9331,34.5824,2853.348,31.1149,Trap/Drill
9265,89.9,1442.7726,1.1049,0.1482,0.9317,22.0759,1673.9626,13.7396,Club/Party Rap
9266,88.85,2084.8021,1.2923,0.1792,0.8929,30.6313,1938.6608,17.4292,Club/Party Rap
9267,127.88,1549.3184,1.1879,0.2544,0.9426,40.5827,2357.9578,27.4339,Trap/Drill
9268,111.87,1478.5567,1.0564,0.2248,0.8292,36.9801,2023.9806,24.5803,Club/Party Rap
9269,98.07,1812.4146,1.1901,0.0777,0.8416,14.9956,1933.2733,5.7882,Club/Party Rap
9270,184.57,1507.0545,1.1215,0.2035,0.9548,38.0964,2134.7401,20.7241,Club/Party Rap
9271,79.95,2040.5522,1.1814,0.0773,0.8657,13.4502,2219.6311,5.7386,Club/Party Rap
9272,83.94,2156.4431,1.1992,0.2644,0.7891,42.0365,1864.941,29.0712,Club/Party Rap
9273,116.53,1859.2603,1.2736,0.2294,0.841,29.6624,2247.9043,24.7916,Trap/Drill
9274,142.02,1614.5895,1.2358,0.2711,0.868,39.8328,2464.4624,30.7115,Introspective Rap
9275,130.43,1348.3402,1.0998,0.275,0.9329,37.933,2110.8216,30.6376,Club/Party Rap
9276,161.77,1521.5479,1.2227,0.2859,0.913,40.8394,2333.5575,32.2569,Club/Party Rap
9277,148.86,1798.2725,1.3408,0.2353,0.9087,25.1938,2030.2787,25.2524,Club/Party Rap
9278,84.97,1746.444,1.4221,0.2517,0.8816,33.3379,2185.1669,27.3561,Trap/Drill
9279,84.83,1332.395,1.1835,0.2511,0.9464,39.2166,2246.066,27.4161,Club/Party Rap
9280,163.82,1594.3021,1.4394,0.2069,0.8679,21.549,2673.6076,21.4086,Lo-Fi Hip Hop/Chill Rap
9281,84.95,2177.3813,1.1756,0.2694,0.9078,41.7943,2254.5614,29.8588,Club/Party Rap
9282,140.02,1790.6238,1.2124,0.2868,0.8992,43.25,2339.664,31.977,Club/Party Rap
9283,178.21,1516.8605,1.1902,0.2005,0.9181,30.8751,2202.3957,20.7836,Club/Party Rap
9284,89.93,1834.9635,1.3089,0.2286,0.8772,31.4863,2159.0257,24.6837,Trap/Drill
9285,87.9,2276.7523,1.2088,0.2986,0.8727,48.6742,2194.029,34.5136,Club/Party Rap
9286,88.0,1361.4467,1.3372,0.2648,0.9177,34.1138,2241.5106,29.1261,Cloud Rap/Experimental
9287,120.02,1752.973,1.1922,0.2694,0.9083,43.6649,2002.1349,29.6477,Club/Party Rap
9288,128.21,1358.0281,1.1417,0.2481,0.9006,34.5532,2222.513,27.2939,Club/Party Rap
9289,93.94,1832.7512,1.1385,0.1825,0.8991,36.3013,1823.4992,18.3497,Club/Party Rap
9290,136.98,1953.2605,1.1918,0.2701,0.8993,43.1232,2443.3199,29.6368,Club/Party Rap
9291,97.04,1767.6116,1.1066,0.2301,0.8796,35.5595,2198.2237,24.5583,Trap/Drill
9292,91.85,1826.8207,1.1491,0.2909,0.9288,41.6877,2211.3356,32.6286,Club/Party Rap
9293,120.02,2116.5064,1.164,0.232,0.8948,39.8608,1820.464,24.8966,Club/Party Rap
9294,137.09,1629.6376,1.2256,0.2142,0.858,31.4915,2343.6293,23.1313,Club/Party Rap
9295,144.83,1849.9391,1.1388,0.2473,0.9417,42.7054,1918.6519,26.5197,Club/Party Rap
9296,120.09,2428.7607,1.215,0.2112,0.8364,32.6891,2287.0222,22.4793,Lo-Fi Hip Hop/Chill Rap
9297,88.0,1576.4285,1.1208,0.1956,0.935,33.7876,2290.7546,19.2026,Introspective Rap
9298,136.27,1633.9203,1.1399,0.2109,0.8883,38.165,2039.5342,22.2688,Club/Party Rap
9299,172.27,1441.4217,1.2416,0.2516,0.8991,29.1365,2163.3194,27.8978,Club/Party Rap
9300,103.92,1659.695,1.1825,0.2076,0.8939,31.8745,2324.3352,21.8246,Club/Party Rap
9301,97.06,2446.3295,1.4751,0.2527,0.8381,35.8245,2449.4546,27.9762,Introspective Rap
9302,120.01,2029.9581,1.2406,0.1907,0.8812,26.9667,2712.4489,19.6202,Club/Party Rap
9303,96.98,2405.2219,1.3081,0.2049,0.2268,35.0761,2275.2242,21.8252,Introspective Rap
9304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Introspective Rap
9305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Club/Party Rap
9306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Club/Party Rap
9307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Introspective Rap
9308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Club/Party Rap
9309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Club/Party Rap
9310,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Club/Party Rap
9311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Club/Party Rap
9312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Club/Party Rap
9313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Club/Party Rap
9314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Club/Party Rap
9315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Club/Party Rap
9316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Club/Party Rap
9317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Club/Party Rap
9318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Introspective Rap
9319,120.01,1512.4093,1.6062,0.2844,0.8812,19.2636,2807.6526,32.5828,Club/Party Rap
9320,112.96,1298.1688,1.3521,0.2734,0.89,34.3887,2761.109,31.2446,Club/Party Rap
9321,95.03,2140.4585,1.251,0.2991,0.8451,43.4254,2116.6054,34.1517,Club/Party Rap
9322,116.29,1514.5705,1.3604,0.3318,0.8691,30.901,2204.3702,39.958,Club/Party Rap
9323,129.79,1797.7729,1.3331,0.2862,0.8088,29.8173,2286.8551,33.0122,Introspective Rap
9324,128.69,2384.8195,1.2571,0.2719,0.8778,36.6027,2269.7665,30.9798,Club/Party Rap
9325,116.53,1493.7565,1.4264,0.3009,0.8673,31.38,2665.0255,34.83,Trap/Drill
9326,106.95,1224.2854,1.2202,0.2697,0.8908,28.481,2045.3239,29.9511,Club/Party Rap
9327,139.97,2233.33,1.376,0.3352,0.7918,40.4805,2350.6767,40.1639,Introspective Rap
9328,135.17,1826.3035,1.3946,0.2608,0.8523,27.9633,2430.4544,29.5592,Club/Party Rap
9329,147.88,1253.9246,1.1479,0.3061,0.8795,29.9748,2172.8432,35.9867,Club/Party Rap
9330,104.0,1479.2628,1.1893,0.2768,0.877,24.7343,2218.1004,31.5969,Club/Party Rap
9331,102.04,1568.955,1.3143,0.3114,0.9148,31.9112,2444.9919,36.5416,Club/Party Rap
9332,93.39,1087.7263,1.4799,0.3402,0.8889,25.1793,2599.2969,41.6658,Introspective Rap
9333,99.95,2255.4863,1.3351,0.2798,0.8457,32.0547,1695.0569,31.6751,Club/Party Rap
9334,92.91,2002.4346,1.3402,0.173,0.8404,24.0184,2267.0591,17.227,Introspective Rap
9335,151.94,1625.643,1.352,0.3677,0.835,34.6078,2541.4056,44.7064,Introspective Rap
9336,129.92,1595.1811,1.371,0.2861,0.8654,28.7061,2847.5036,33.1541,Trap/Drill
9337,117.76,1664.4384,1.4922,0.3038,0.8419,26.2475,2850.57,35.502,Introspective Rap
9338,104.71,1502.8373,1.3277,0.2904,0.83,40.2402,2035.5094,32.6768,Introspective Rap
9339,90.91,1255.5849,1.2413,0.2582,0.8467,26.0783,2356.1905,29.3009,Lo-Fi Hip Hop/Chill Rap
9340,128.08,3288.4514,1.2276,0.201,0.7865,32.53,1713.5038,20.7153,Introspective Rap
9341,129.71,1357.7221,1.2953,0.2966,0.8489,27.7489,2250.0022,34.9213,Introspective Rap
9342,130.0,1024.6992,1.264,0.3419,0.8763,24.2742,3018.1544,41.958,Introspective Rap
9343,130.0,1601.0677,1.3779,0.3075,0.8541,28.1262,2331.6238,35.8621,Introspective Rap
9344,108.76,1698.7758,1.2417,0.2728,0.8059,33.8745,1874.6331,30.9494,Introspective Rap
9345,114.68,1871.8424,1.3823,0.2878,0.8882,29.6369,2592.2669,33.5121,Introspective Rap
9346,107.99,2510.3331,1.3849,0.1063,0.8405,16.8038,2338.7174,8.7103,Introspective Rap
9347,91.96,1127.7983,1.4572,0.3013,0.8713,31.6151,2360.3114,35.0147,Introspective Rap
9348,139.92,1514.2987,1.281,0.2885,0.8688,29.8457,2038.126,33.2691,Introspective Rap
9349,135.96,2249.7646,1.4317,0.235,0.8798,30.2938,2590.2652,25.5269,Introspective Rap
9350,95.98,1962.5971,1.5924,0.2958,0.838,30.6217,2487.2744,34.6792,Introspective Rap
9351,108.76,1698.7758,1.2417,0.2728,0.8059,33.8745,1874.6331,30.9494,Introspective Rap
9352,110.52,1257.2887,1.3887,0.3339,0.8019,32.63,2425.0726,41.1071,Club/Party Rap
9353,129.74,751.3248,1.3613,0.4035,0.8956,24.5516,3336.6274,51.7503,Introspective Rap
9354,125.06,1748.5372,1.4297,0.2603,0.8387,28.4651,2155.1165,28.6785,Introspective Rap
9355,125.0,1777.0696,1.5162,0.3272,0.8946,34.0926,2702.4508,39.9502,Cloud Rap/Experimental
9356,136.9,2402.5812,1.2902,0.1603,0.885,28.7785,1794.367,15.0568,Introspective Rap
9357,96.78,826.5852,1.2744,0.1973,0.9427,14.8891,2683.3692,20.2848,Introspective Rap
9358,106.95,1224.2854,1.2202,0.2697,0.8908,28.481,2045.3239,29.9511,Introspective Rap
9359,83.99,1361.8037,1.5369,0.3352,0.8345,26.8854,2825.4585,40.0355,Lo-Fi Hip Hop/Chill Rap
9360,161.86,1267.7104,1.4606,0.3364,0.8797,25.9319,2908.2351,40.3173,Introspective Rap
